DATE,INDPRO
2002-09-30,93.3654
2002-10-31,93.0834
2002-11-30,93.5693
2002-12-31,93.1103
2003-01-31,93.8198
2003-02-28,93.9532
2003-03-31,93.7358
2003-04-30,93.0657
2003-05-31,93.0918
2003-06-30,93.2476
2003-07-31,93.6582
2003-08-31,93.5246
2003-09-30,94.0751
2003-10-31,94.2079
2003-11-30,94.9338
2003-12-31,94.8662
2004-01-31,95.1085
2004-02-29,95.6847
2004-03-31,95.2088
2004-04-30,95.6385
2004-05-31,96.3966
2004-06-30,95.6019
2004-07-31,96.3385
2004-08-31,96.4095
2004-09-30,96.4907
2004-10-31,97.4094
2004-11-30,97.6137
2004-12-31,98.3318
2005-01-31,98.7845
2005-02-28,99.4639
2005-03-31,99.3061
2005-04-30,99.4734
2005-05-31,99.6033
2005-06-30,99.9853
2005-07-31,99.6692
2005-08-31,99.9435
2005-09-30,98.0779
2005-10-31,99.3149
2005-11-30,100.3216
2005-12-31,100.9437
2006-01-31,101.0627
2006-02-28,101.0669
2006-03-31,101.2751
2006-04-30,101.6813
2006-05-31,101.579
2006-06-30,101.9693
2006-07-31,101.9319
2006-08-31,102.3327
2006-09-30,102.1252
2006-10-31,102.0668
2006-11-30,101.9688
2006-12-31,103.0292
2007-01-31,102.4933
2007-02-28,103.5264
2007-03-31,103.7521
2007-04-30,104.4814
2007-05-31,104.5322
2007-06-30,104.5617
2007-07-31,104.5227
2007-08-31,104.7556
2007-09-30,105.1611
2007-10-31,104.7171
2007-11-30,105.3338
2007-12-31,105.3457
2008-01-31,105.0619
2008-02-29,104.7094
2008-03-31,104.4616
2008-04-30,103.6704
2008-05-31,103.0863
2008-06-30,102.8445
2008-07-31,102.3002
2008-08-31,100.7353
2008-09-30,96.3666
2008-10-31,97.2832
2008-11-30,96.0605
2008-12-31,93.2521
2009-01-31,91.0373
2009-02-28,90.4502
2009-03-31,89.016
2009-04-30,88.3056
2009-05-31,87.4155
2009-06-30,87.0742
2009-07-31,88.0323
2009-08-31,89.019
2009-09-30,89.6926
2009-10-31,89.9797
2009-11-30,90.3375
2009-12-31,90.6132
2010-01-31,91.6642
2010-02-28,91.994
2010-03-31,92.5993
2010-04-30,92.9436
2010-05-31,94.2997
2010-06-30,94.4397
2010-07-31,94.8536
2010-08-31,95.1448
2010-09-30,95.3637
2010-10-31,95.1109
2010-11-30,95.1383
2010-12-31,96.0599
2011-01-31,95.9364
2011-02-28,95.5154
2011-03-31,96.4643
2011-04-30,96.1187
2011-05-31,96.3377
2011-06-30,96.6154
2011-07-31,97.1292
2011-08-31,97.6731
2011-09-30,97.6494
2011-10-31,98.3222
2011-11-30,98.2433
2011-12-31,98.7876
2012-01-31,99.3925
2012-02-29,99.6203
2012-03-31,99.1551
2012-04-30,99.9006
2012-05-31,100.0924
2012-06-30,100.0728
2012-07-31,100.3354
2012-08-31,99.856
2012-09-30,99.9049
2012-10-31,100.1167
2012-11-30,100.5991
2012-12-31,100.9542
2013-01-31,100.8204
2013-02-28,101.3995
2013-03-31,101.8114
2013-04-30,101.6364
2013-05-31,101.7476
2013-06-30,101.9549
2013-07-31,101.5204
2013-08-31,102.1907
2013-09-30,102.717
2013-10-31,102.5371
2013-11-30,102.8379
2013-12-31,103.1504
2014-01-31,102.7216
2014-02-28,103.5917
2014-03-31,104.5889
2014-04-30,104.6371
2014-05-31,105.0152
2014-06-30,105.4081
2014-07-31,105.6157
2014-08-31,105.4986
2014-09-30,105.8138
2014-10-31,105.8357
2014-11-30,106.6634
2014-12-31,106.5085
2015-01-31,105.9806
2015-02-28,105.4425
2015-03-31,105.1464
2015-04-30,104.5272
2015-05-31,104.0742
2015-06-30,103.7174
2015-07-31,104.3243
2015-08-31,104.1621
2015-09-30,103.7768
2015-10-31,103.3976
2015-11-30,102.6866
2015-12-31,102.1014
2016-01-31,102.9525
2016-02-29,102.2225
2016-03-31,101.4155
2016-04-30,101.5167
2016-05-31,101.4298
2016-06-30,101.8747
2016-07-31,102.1325
2016-08-31,102.0407
2016-09-30,102.0477
2016-10-31,102.2485
2016-11-30,102.0507
2016-12-31,102.9281
2017-01-31,103.0366
2017-02-28,102.6479
2017-03-31,103.343
2017-04-30,104.2721
2017-05-31,104.4129
2017-06-30,104.5849
2017-07-31,104.5427
2017-08-31,104.0475
2017-09-30,104.0502
2017-10-31,105.6287
2017-11-30,106.193
2017-12-31,106.536
2018-01-31,106.2655
2018-02-28,106.6419
2018-03-31,107.2519
2018-04-30,108.2223
2018-05-31,107.3639
2018-06-30,108.1707
2018-07-31,108.652
2018-08-31,109.5246
2018-09-30,109.6749
2018-10-31,109.9165
2018-11-30,110.5067
2018-12-31,110.5516
2019-01-31,110.1185
2019-02-28,109.5631
2019-03-31,109.6811
2019-04-30,108.9888
2019-05-31,109.2264
2019-06-30,109.2774
2019-07-31,109.0852
2019-08-31,109.9634
2019-09-30,109.4437
2019-10-31,108.8532
2019-11-30,109.7573
2019-12-31,109.433
